resume_id;filename;Years_of_Experience_match;Skills_match;Education_match;Experience_match;Certificates / Courses_match;overall_match
15791766;15791766.pdf;100%;24%;27%;13%;42%;36%
10247517;10247517.pdf;100%;7%;25%;7%;58%;35%
11584809;11584809.pdf;0%;23%;40%;11%;37%;26%
16533554;16533554.pdf;100%;14%;25%;16%;10%;24%
13836471;13836471.pdf;100%;35%;10%;12%;0%;23%
18176523;18176523.pdf;100%;22%;7%;11%;16%;23%
21283365;21283365.pdf;100%;15%;36%;12%;0%;23%
11580408;11580408.pdf;100%;12%;11%;3%;22%;22%
11957080;11957080.pdf;100%;21%;12%;14%;0%;20%
15297298;15297298.pdf;100%;8%;10%;5%;13%;19%
15118506;15118506.pdf;100%;0%;25%;9%;8%;19%
19796840;19796840.pdf;100%;10%;25%;11%;0%;19%
66832845;66832845.pdf;100%;23%;4%;14%;0%;19%
18301617;18301617.pdf;100%;14%;22%;2%;0%;18%
17688766;17688766.pdf;100%;28%;0%;7%;0%;18%
15802627;15802627.pdf;100%;9%;6%;7%;10%;18%
13405733;13405733.pdf;100%;4%;21%;5%;6%;18%
13477922;13477922.pdf;100%;19%;8%;8%;0%;18%
20879311;20879311.pdf;100%;17%;8%;12%;0%;18%
14789139;14789139.pdf;100%;11%;16%;2%;0%;16%
12045067;12045067.pdf;100%;8%;12%;8%;0%;16%
21780877;21780877.pdf;100%;8%;9%;7%;0%;15%
10840430;10840430.pdf;100%;8%;8%;11%;0%;15%
51639418;51639418.pdf;100%;9%;11%;6%;0%;15%
18187364;18187364.pdf;100%;4%;10%;9%;0%;14%
18159866;18159866.pdf;100%;2%;12%;7%;0%;14%
10553553;10553553.pdf;0%;24%;23%;15%;0%;13%
12334140;12334140.pdf;100%;4%;1%;10%;0%;13%
11763983;11763983.pdf;100%;2%;4%;2%;0%;12%
13385306;13385306.pdf;0%;25%;16%;12%;0%;11%
15651486;15651486.pdf;0%;19%;25%;11%;0%;11%
16899268;16899268.pdf;100%;0%;2%;4%;0%;11%
22450718;22450718.pdf;0%;17%;24%;11%;0%;11%
10641230;10641230.pdf;0%;24%;20%;1%;0%;10%
17641670;17641670.pdf;0%;20%;12%;14%;0%;10%
19850482;19850482.pdf;0%;15%;18%;10%;0%;9%
12763627;12763627.pdf;0%;8%;23%;1%;6%;9%
52246737;52246737.pdf;0%;11%;16%;9%;0%;7%
20408458;20408458.pdf;0%;19%;0%;15%;0%;7%
20824105;20824105.pdf;0%;19%;10%;4%;0%;7%
18067556;18067556.pdf;0%;11%;15%;3%;0%;6%
19201175;19201175.pdf;0%;9%;9%;11%;0%;6%
16186411;16186411.pdf;0%;11%;14%;5%;0%;6%
17111768;17111768.pdf;0%;0%;11%;0%;10%;5%
20024870;20024870.pdf;0%;4%;18%;1%;0%;5%
12635195;12635195.pdf;0%;0%;21%;6%;0%;5%
17681064;17681064.pdf;0%;9%;5%;11%;0%;5%
10265057;10265057.pdf;0%;9%;9%;5%;0%;5%
11187796;11187796.pdf;0%;8%;13%;4%;0%;5%
10839851;10839851.pdf;0%;10%;0%;13%;0%;4%
10554236;10554236.pdf;0%;0%;5%;13%;4%;4%
20237244;20237244.pdf;0%;5%;10%;6%;0%;4%
18752129;18752129.pdf;0%;0%;15%;5%;0%;4%
20674668;20674668.pdf;0%;8%;0%;8%;0%;3%
11835339;11835339.pdf;0%;2%;8%;6%;0%;3%
83816738;83816738.pdf;0%;4%;7%;4%;0%;3%
20001721;20001721.pdf;0%;9%;3%;0%;0%;3%
17987433;17987433.pdf;0%;2%;6%;4%;0%;2%
12696104;12696104.pdf;0%;0%;3%;3%;0%;1%
